date	positive	negative	sentiment
2012-10-31	4492	2826	1.58952583156
2012-10-30	4291	3248	1.32112068966
2012-07-31	1237	857	1.44340723454
2012-07-30	1245	701	1.7760342368
2012-09-29	1647	1128	1.46010638298
2012-07-06	1602	1109	1.44454463481
2012-07-07	195	153	1.27450980392
2012-07-04	872	468	1.86324786325
2012-09-26	2972	1835	1.61961852861
2012-09-27	2799	1754	1.59578107184
2012-09-24	2646	1596	1.65789473684
2012-09-25	3160	2369	1.33389615872
2012-09-22	1827	1066	1.7138836773
2012-09-23	1689	1137	1.48548812665
2012-09-20	3049	2074	1.47010607522
2012-09-21	2666	1677	1.58974358974
2012-07-02	1414	1092	1.29487179487
2012-08-30	2964	2003	1.47978032951
2012-08-31	6185	3418	1.80953774137
2012-09-28	2231	1556	1.43380462725
2012-07-03	279	187	1.49197860963
2012-07-01	1004	746	1.34584450402
2012-08-29	2523	2001	1.26086956522
2012-08-28	1726	1275	1.3537254902
2012-09-30	1714	1105	1.55113122172
2012-08-21	1749	1094	1.5987202925
2012-08-20	1770	1083	1.63434903047
2012-08-23	1214	870	1.39540229885
2012-08-22	1492	993	1.50251762336
2012-08-25	1320	985	1.34010152284
2012-08-27	1595	1074	1.48510242086
2012-08-26	983	709	1.38645980254
2012-09-08	2540	1928	1.31742738589
2012-09-09	2496	2314	1.07865168539
2012-09-01	1958	1323	1.47996976568
2012-09-02	952	789	1.20659062104
2012-09-03	1516	884	1.7149321267
2012-09-04	3317	2158	1.53707136237
2012-09-05	12969	7075	1.83307420495
2012-09-06	7547	4248	1.7766007533
2012-09-07	18147	12386	1.46512191184
2012-08-18	1226	801	1.53058676654
2012-08-19	1113	782	1.42327365729
2012-08-14	1565	1168	1.33989726027
2012-08-15	1831	1323	1.38397581255
2012-08-16	1761	1200	1.4675
2012-08-17	1441	1020	1.41274509804
2012-08-10	1382	920	1.50217391304
2012-08-11	2224	1154	1.92720970537
2012-08-12	1657	1015	1.63251231527
2012-08-13	971	669	1.4514200299
2012-11-05	11816	7831	1.50887498404
2012-11-04	6508	4146	1.56970574047
2012-11-07	64599	42856	1.50735019601
2012-11-06	41816	23971	1.74444119978
2012-11-01	5369	3178	1.68942731278
2012-11-03	72	50	1.44
2012-11-02	5698	3376	1.68779620853
2012-10-08	3214	1961	1.63895971443
2012-10-09	3491	2455	1.42199592668
2012-10-02	2630	1656	1.58816425121
2012-10-03	4719	2823	1.67162592986
2012-10-01	2358	1414	1.6676096181
2012-10-06	2381	1449	1.64320220842
2012-10-07	2230	1361	1.63850110213
2012-10-04	32932	29556	1.11422384626
2012-10-05	3858	2725	1.41577981651
2012-09-19	3208	2073	1.54751567776
2012-09-18	3345	2195	1.52391799544
2012-09-17	2495	1747	1.4281625644
2012-09-16	1889	1355	1.39409594096
2012-09-15	2099	1403	1.49607982894
2012-09-14	3133	1862	1.68259935553
2012-09-13	3966	2337	1.69704749679
2012-09-12	3969	2519	1.57562524811
2012-09-11	2768	1695	1.63303834808
2012-09-10	2735	1915	1.42819843342
2012-08-03	1429	854	1.67330210773
2012-08-02	1506	972	1.54938271605
2012-08-01	1775	805	2.2049689441
2012-07-05	1234	692	1.78323699422
2012-08-07	1794	1139	1.57506584723
2012-08-06	1454	847	1.71664698937
2012-08-05	1152	641	1.79719188768
2012-08-04	2429	797	3.04767879548
2012-08-09	1366	1001	1.36463536464
2012-08-08	1698	1014	1.67455621302
2012-07-08	630	427	1.47540983607
2012-07-09	1428	808	1.76732673267
2012-10-19	4122	2492	1.65409309791
2012-10-18	4435	2902	1.52825637491
2012-10-10	3062	2328	1.31529209622
2012-10-13	2105	1186	1.77487352445
2012-10-12	6135	3707	1.65497707041
2012-10-15	2919	1593	1.83239171375
2012-10-14	2036	1305	1.5601532567
2012-10-17	31167	25141	1.23968815878
2012-10-16	3849	2510	1.53346613546
2012-06-29	672	462	1.45454545455
2012-06-28	5820	3215	1.81026438569
2012-06-27	1173	663	1.76923076923
2012-06-26	259	153	1.69281045752
2012-06-25	1242	640	1.940625
2012-07-15	1250	830	1.50602409639
2012-07-14	972	694	1.40057636888
2012-07-17	381	248	1.53629032258
2012-07-16	847	541	1.56561922366
2012-07-11	1327	827	1.6045949214
2012-07-10	631	343	1.83965014577
2012-07-13	928	646	1.43653250774
2012-07-12	1339	878	1.52505694761
2012-06-30	988	570	1.73333333333
2012-07-19	608	466	1.30472103004
2012-07-18	49	31	1.58064516129
2012-10-28	3783	2304	1.64192708333
2012-10-29	4208	3010	1.39800664452
2012-10-24	5417	3229	1.67760916692
2012-10-25	5569	3178	1.75235997483
2012-10-26	5055	3066	1.64872798434
2012-10-27	3958	2143	1.8469435371
2012-10-20	2770	1774	1.56144306652
2012-10-21	2648	1716	1.54312354312
2012-10-22	3887	2633	1.47626281808
2012-10-23	22653	17383	1.30316976356
2012-07-28	1060	652	1.62576687117
2012-07-29	1027	578	1.776816609
2012-07-20	1451	1025	1.4156097561
2012-07-21	787	667	1.17991004498
2012-07-22	821	586	1.40102389078
2012-07-23	1203	941	1.2784272051
2012-07-24	1624	958	1.69519832985
2012-07-25	1264	877	1.44127708096
2012-07-26	1308	875	1.49485714286
2012-07-27	1430	827	1.72914147521
