date	positive	negative	ratio
2012-10-31	3884	3037	1.27889364504
2012-10-30	3818	3118	1.22450288647
2012-07-31	1134	785	1.44458598726
2012-07-30	1087	728	1.49313186813
2012-09-29	1403	1232	1.1387987013
2012-07-06	1295	1236	1.04773462783
2012-07-07	160	146	1.09589041096
2012-07-04	833	428	1.94626168224
2012-09-26	2613	1906	1.37093389297
2012-09-27	2340	1899	1.23222748815
2012-09-24	2181	1805	1.20831024931
2012-09-25	2826	2319	1.21862871928
2012-09-22	1465	1266	1.15718799368
2012-09-23	1530	1141	1.34092900964
2012-09-20	2585	2194	1.17821330902
2012-09-21	2126	1930	1.10155440415
2012-07-02	1238	870	1.42298850575
2012-08-30	2385	2276	1.04789103691
2012-08-31	5565	3383	1.64498965415
2012-09-28	1930	1596	1.20927318296
2012-07-03	216	196	1.10204081633
2012-07-01	851	675	1.26074074074
2012-08-29	2505	1710	1.4649122807
2012-08-28	1667	1183	1.40912933221
2012-09-30	1498	1148	1.30487804878
2012-08-21	1617	1014	1.59467455621
2012-08-20	1589	1069	1.48643592142
2012-08-23	1127	838	1.34486873508
2012-08-22	1352	976	1.38524590164
2012-08-25	1320	818	1.61369193154
2012-08-27	1306	1182	1.10490693739
2012-08-26	893	705	1.26666666667
2012-09-08	2850	1364	2.08944281525
2012-09-09	3291	1287	2.55710955711
2012-09-01	1790	1242	1.44122383253
2012-09-02	983	653	1.50535987749
2012-09-03	1458	820	1.77804878049
2012-09-04	3286	1903	1.7267472412
2012-09-05	14682	3891	3.7733230532
2012-09-06	8214	2854	2.87806587246
2012-09-07	23148	6173	3.74987850316
2012-08-18	1070	844	1.26777251185
2012-08-19	980	758	1.29287598945
2012-08-14	1468	1082	1.35674676525
2012-08-15	1586	1355	1.1704797048
2012-08-16	1427	1328	1.07454819277
2012-08-17	1102	1167	0.944301628106
2012-08-10	1188	979	1.21348314607
2012-08-11	1769	1317	1.34320425209
2012-08-12	1420	1049	1.35367016206
2012-08-13	838	645	1.2992248062
2012-11-05	13370	5447	2.4545621443
2012-11-04	6559	3626	1.80888030888
2012-11-07	92563	10629	8.70853325807
2012-11-06	52617	10274	5.121374343
2012-11-01	4987	3097	1.61026800129
2012-11-03	65	49	1.32653061224
2012-11-02	5170	3410	1.51612903226
2012-10-08	3167	1661	1.90668272125
2012-10-09	3276	2357	1.38990241833
2012-10-02	2330	1674	1.39187574671
2012-10-03	4432	2599	1.70527125818
2012-10-01	2050	1463	1.4012303486
2012-10-06	2054	1588	1.29345088161
2012-10-07	2159	1248	1.72996794872
2012-10-04	43868	15654	2.80235083685
2012-10-05	3503	2687	1.3036844064
2012-09-19	2821	2122	1.32940622055
2012-09-18	2845	2313	1.23000432339
2012-09-17	2288	1748	1.30892448513
2012-09-16	1713	1341	1.2774049217
2012-09-15	1762	1591	1.1074795726
2012-09-14	2343	2354	0.995327102804
2012-09-13	3101	2903	1.06820530486
2012-09-12	2721	3321	0.819331526649
2012-09-11	2389	1625	1.47015384615
2012-09-10	2866	1493	1.91962491628
2012-08-03	1288	864	1.49074074074
2012-08-02	1411	897	1.57302118172
2012-08-01	1589	865	1.83699421965
2012-07-05	981	782	1.25447570332
2012-08-07	1509	1221	1.23587223587
2012-08-06	1223	897	1.36343366778
2012-08-05	1013	677	1.49630723781
2012-08-04	2387	732	3.26092896175
2012-08-09	1226	1017	1.20550639135
2012-08-08	1376	1174	1.17206132879
2012-07-08	507	489	1.03680981595
2012-07-09	1113	982	1.133401222
2012-10-19	3758	2413	1.55739743058
2012-10-18	4160	2668	1.55922038981
2012-10-10	2960	2136	1.38576779026
2012-10-13	1648	1381	1.19333816075
2012-10-12	5080	4152	1.22350674374
2012-10-15	2442	1824	1.33881578947
2012-10-14	1850	1347	1.37342242019
2012-10-17	36862	17049	2.16212094551
2012-10-16	3460	2513	1.37684042977
2012-06-29	588	509	1.15520628684
2012-06-28	5175	3397	1.52340300265
2012-06-27	1111	635	1.74960629921
2012-06-26	217	173	1.25433526012
2012-06-25	1019	749	1.36048064085
2012-07-15	1169	841	1.39001189061
2012-07-14	840	713	1.17812061711
2012-07-17	375	216	1.73611111111
2012-07-16	666	646	1.03095975232
2012-07-11	1132	844	1.34123222749
2012-07-10	630	262	2.40458015267
2012-07-13	771	703	1.09672830725
2012-07-12	1063	993	1.07049345418
2012-06-30	876	617	1.41977309562
2012-07-19	546	472	1.15677966102
2012-07-18	40	38	1.05263157895
2012-10-28	3111	2654	1.17219291635
2012-10-29	3780	2909	1.29941560674
2012-10-24	4325	3609	1.19839290662
2012-10-25	5066	2969	1.70629841698
2012-10-26	4303	3369	1.27723360047
2012-10-27	3164	2641	1.19803104885
2012-10-20	2526	1724	1.46519721578
2012-10-21	2383	1725	1.38144927536
2012-10-22	3630	2388	1.52010050251
2012-10-23	24561	13411	1.83140705391
2012-07-28	1021	591	1.72758037225
2012-07-29	885	618	1.43203883495
2012-07-20	1340	866	1.54734411085
2012-07-21	735	577	1.27383015598
2012-07-22	693	570	1.21578947368
2012-07-23	1105	850	1.3
2012-07-24	1432	1014	1.41222879684
2012-07-25	1154	870	1.32643678161
2012-07-26	1094	923	1.18526543879
2012-07-27	1316	770	1.70909090909
